wage,school,age
10.1999997452,11.5,41
18.3749983159,11,41
19.0476186972,18,41
11.0000006969,10.5,41
18.6904750783,14,40
16.9999997494,12,40
12.6315802404,10.5,40
13.7662348954,10.5,40
22.8205123886,15,40
16.0377375796,18,40
8.4000004871,10.5,40
10.7272730627,12,40
13.5135129949,11.5,40
18.1818182273,11.5,40
11.8000007392,18,40
9.8666675182,9,40
18.2499990783,14.5,40
7.924527844,11.5,40
11.0000006969,10.5,40
24.2563631251,14,40
16.9999997494,18,40
16.6871442012,18,40
16.6389623409,12,40
20.851064749,18,40
9.7368418024,10.5,40
16.3333351759,16,39
18.1999991419,18,39
10.2777765699,10.5,39
7.7815787597,10.5,39
14.7368407573,11.5,39
7.2000000965,9,39
12.6724987733,10,39
10.4444453289,9,39
15.5555564972,16,39
11.20000047,10.5,39
30.3888888587,11.5,39
11.2500007417,11.5,39
12.9399993439,11.5,39
10.5000008846,14.5,38
15.7142861701,10.5,38
9.0394743758,10.5,38
18.9583330953,10.5,38
8.0000000457,7,38
13.333333546,10.5,38
10.7500007534,10.5,38
13.2467520453,10.5,38
12.0930246696,10.5,38
17.891303834,10,38
11.9148933974,14.5,38
26.0714263593,16,38
17.7777777765,12,38
9.6103899622,12,38
11.2500007417,11.5,38
10.0000003197,12,38
15.0909087513,13,38
22.5911123924,18,38
15.9756084851,10.5,38
10.2857140703,7,38
14.3499998714,16,38
6.0000001304,10.5,38
10.8333325201,9,38
10.5263169547,9,38
10.9333323767,7,37
15.7500016094,11.5,37
10.6666665567,11.5,37
10.2380954204,9,37
11.0000006969,10.5,37
14.9749983858,14,37
13.2467520453,11.5,37
18.1818182273,13.5,37
33.3333348039,18,37
11.6216213133,10,37
17.3809505946,12,37
10.0000003197,10.5,37
12.0000002837,10.5,37
7.2727270861,9,37
15.8200014346,15,37
12.5454542272,16,37
13.8888895909,12,37
13.5064943579,12,37
20.347824944,18,37
19.0476186972,12,37
16.3333351759,14.5,37
13.7500012322,14.5,37
6.5720001437,11.5,37
19.1999999863,15,37
15.4761887829,10.5,37
